SiteCode,DateTime,DurationNS,ScaledValue,mod_datetime,species
CLDP0001,2024-08-10 21:00:00+00:00,3600000000,8.424017000000001,2024-08-10 22:00:00+00:00,IPM25
CLDP0001,2024-08-10 22:00:00+00:00,3600000000,8.510768,2024-08-10 23:00:00+00:00,IPM25
CLDP0001,2024-08-10 23:00:00+00:00,3600000000,8.9385695,2024-08-11 00:00:00+00:00,IPM25
CLDP0001,2024-08-11 00:00:00+00:00,3600000000,6.905992812500001,2024-08-11 01:00:00+00:00,IPM25
CLDP0001,2024-08-11 01:00:00+00:00,3600000000,7.352480000000001,2024-08-11 02:00:00+00:00,IPM25
CLDP0001,2024-08-11 02:00:00+00:00,3600000000,6.213113750000001,2024-08-11 03:00:00+00:00,IPM25
CLDP0001,2024-08-11 03:00:00+00:00,3600000000,5.691558125,2024-08-11 04:00:00+00:00,IPM25
CLDP0001,2024-08-11 04:00:00+00:00,3600000000,5.542467500000001,2024-08-11 05:00:00+00:00,IPM25
CLDP0001,2024-08-11 05:00:00+00:00,3600000000,5.2819512500000005,2024-08-11 06:00:00+00:00,IPM25
CLDP0001,2024-08-11 06:00:00+00:00,3600000000,5.363035625000001,2024-08-11 07:00:00+00:00,IPM25
CLDP0001,2024-08-11 07:00:00+00:00,3600000000,5.250302187500001,2024-08-11 08:00:00+00:00,IPM25
CLDP0001,2024-08-11 08:00:00+00:00,3600000000,4.877837187500001,2024-08-11 09:00:00+00:00,IPM25
CLDP0001,2024-08-11 09:00:00+00:00,3600000000,4.9432278125,2024-08-11 10:00:00+00:00,IPM25
CLDP0001,2024-08-11 10:00:00+00:00,3600000000,4.797275937500001,2024-08-11 11:00:00+00:00,IPM25
CLDP0001,2024-08-11 11:00:00+00:00,3600000000,4.815846875,2024-08-11 12:00:00+00:00,IPM25
CLDP0001,2024-08-11 12:00:00+00:00,3600000000,4.6303990625,2024-08-11 13:00:00+00:00,IPM25
CLDP0001,2024-08-11 13:00:00+00:00,3600000000,4.8924846875000005,2024-08-11 14:00:00+00:00,IPM25
CLDP0001,2024-08-11 14:00:00+00:00,3600000000,5.4341806250000015,2024-08-11 15:00:00+00:00,IPM25
CLDP0001,2024-08-11 15:00:00+00:00,3600000000,5.414825,2024-08-11 16:00:00+00:00,IPM25
CLDP0001,2024-08-11 16:00:00+00:00,3600000000,4.6628328125000005,2024-08-11 17:00:00+00:00,IPM25
CLDP0001,2024-08-11 17:00:00+00:00,3600000000,4.556900000000001,2024-08-11 18:00:00+00:00,IPM25
CLDP0001,2024-08-11 18:00:00+00:00,3600000000,4.296645312500001,2024-08-11 19:00:00+00:00,IPM25
CLDP0001,2024-08-11 19:00:00+00:00,3600000000,4.6623096875000005,2024-08-11 20:00:00+00:00,IPM25
CLDP0001,2024-08-11 20:00:00+00:00,3600000000,5.084210000000001,2024-08-11 21:00:00+00:00,IPM25
CLDP0001,2024-08-11 21:00:00+00:00,3600000000,5.766888125,2024-08-11 22:00:00+00:00,IPM25
CLDP0001,2024-08-11 22:00:00+00:00,3600000000,6.095933750000001,2024-08-11 23:00:00+00:00,IPM25
CLDP0001,2024-08-11 23:00:00+00:00,3600000000,6.181203125,2024-08-12 00:00:00+00:00,IPM25
CLDP0001,2024-08-12 00:00:00+00:00,3600000000,8.784383125,2024-08-12 01:00:00+00:00,IPM25
CLDP0001,2024-08-12 01:00:00+00:00,3600000000,7.98300625,2024-08-12 02:00:00+00:00,IPM25
CLDP0001,2024-08-12 02:00:00+00:00,3600000000,8.596159375,2024-08-12 03:00:00+00:00,IPM25
CLDP0001,2024-08-12 03:00:00+00:00,3600000000,10.394266562499999,2024-08-12 04:00:00+00:00,IPM25
